Catalogue,Area,Item
Software,Agentes,Antivirus
Comunicaciones,Infraestructura,Rack
Comunicaciones,Infraestructura,UPS
Comunicaciones,Infraestructura,Almacenamiento
Comunicaciones,Infraestructura,Cableado de Datos
Comunicaciones,Infraestructura,Planta de Energia
Comunicaciones,Infraestructura,Gabinete
Comunicaciones,Infraestructura,Cableado de Energia
Accesos,Exchange,Privilegios
Teams & Teammates,Create New Team / Subteam,Consider Away After
Teams & Teammates,Create New Team / Subteam,Copy Goals and Rules
Download,Agents,Mac
Download,Agents,Windows
Download,Technical Requirements,General
Download,Tester,Windows
Payment,Contracts,General
Payment,Methods,Digital
Payment,Methods,Traditional
Accesos,BLIS,Cuenta
Comunicaciones,Voz,Cableado de Voz
PPOMX - Proveedores,Proveedores,Acer
Hardware,Desktop,Fuente de Poder
Comunicaciones,Voz,Equipo Anal�_gico
PPOMX - Change Requests,IT Requests,Prestamo de Cables / Adaptadores de Energ�_a
Comunicaciones,Voz,Equipo VoIP
Comunicaciones,Voz,Extensi�_n
PPOMX - Change Requests,IT Requests,Prestamo de Proyector
PPOMX - Change Requests,IT Requests,Prestamo de Monitor
PPOMX - Proveedores,Proveedores,AXTEL
PPOMX - Proveedores,Proveedores,BBS Red
PPOMX - Proveedores,Proveedores,Alestra
PPOMX - Proveedores,Proveedores,Ingrammicro
PPOMX - Proveedores,Proveedores,Tecsyso
Essential,Servicio,Reset de Password
PPOMX - Proveedores,Proveedores,Tech-Pro
PPOMX - Proveedores,Proveedores,Telcel
PPOMX - Proveedores,Proveedores,Nextel
PPOMX - Proveedores,Proveedores,Dell
PPOMX - Proveedores,Proveedores,HP
PPOMX - Proveedores,Proveedores,Microsoft
PPOMX - Proveedores,Proveedores,AVAYA
PPOMX - Proveedores,Proveedores,Profitbricks
Hardware,Servidores,NIC
Essential,Servicio,Respaldos de Informaci�_m
Essential,Servicio,Cambio de Lugar
Essential,Aplicaciones,Java
Hardware,Servidores,HDD
Hardware,Servidores,Unidad de Cinta
Essential,Aplicaciones,Google Chrome
Essential,Aplicaciones,FireFox
Essential,Aplicaciones,Internet Explorer
Essential,Infraestructura,ProfitBricks
Essential,Infraestructura,1and1
Essential,Infraestructura,DNS
Essential,Infraestructura,Google Apps
Essential,Infraestructura,Office 365
Essential,Infraestructura,Cisco
GC - Hardware,Accesorios,Tonner
GC - Hardware,Accesorios,Cable de Tel̩fono
GC - Hardware,Accesorios,Cable de Red
GC - Hardware,Refacciones,Pinpad
GC - Hardware,Refacciones,Fuente
Hardware,Servidores,RAM
GC - Hardware,Refacciones,Memoria RAM
GC - Hardware,Refacciones,Arturito
GC - Hardware,No-Break,Instalaci�_n
GC - Comunicaciones,MPLS Tiendas,Modem
GC - Hardware,No-Break,No enciende
GC - Hardware,No-Break,No respalda
GC - Software,Google Chrome,Instalaci�_n
GC - Software,Antivirus,Falla
GC - Software,Antivirus,Configuraci�_n
GC - Telefon�_a,M�_vil,Baja
GC - Telefon�_a,M�_vil,Contrataci�_n
GC - Telefon�_a,M�_vil,Aparato
GC - Telefon�_a,M�_vil,Plan de datos
GC - Telefon�_a,M�_vil,Roaming
GC - Comunicaciones,MPLS Tiendas,Intermitencia
GC - Telefon�_a,Fija,Cableado
GC - Telefon�_a,Fija,Aparato
GC - Telefon�_a,Fija,L�_nea directa
GC - Telefon�_a,Fija,Extensiones
GC - Telefon�_a,Fija,Conmutador
GC - Comunicaciones,Intranet,Hackeo
GC - Comunicaciones,Intranet,Configuraci�_n
Hardware,Servidores,Cartuchos
Hardware,Perifericos,Teclado
Hardware,Servidores,Array
Hardware,Perifericos,Diadema
Hardware,Perifericos,Microfono
Hardware,Perifericos,HDD Externo
Hardware,Perifericos,Mouse
Hardware,Perifericos,Bocinas
Hardware,Servidores,Enclosure
GC - Comunicaciones,Intranet,No abre p��gina
GC - Comunicaciones,Intranet,Modificaci�_n
GC - Comunicaciones,VPN Tiendas,Router
GC - Comunicaciones,VPN Tiendas,Modem
GC - Comunicaciones,VPN Tiendas,Intermitencia
GC - Comunicaciones,VPN Tiendas,Lento
GC - Comunicaciones,VPN Tiendas,Sin conexi�_n
GC - Comunicaciones,MPLS Tiendas,Router
GC - Comunicaciones,MPLS Tiendas,Lento
GC - Comunicaciones,MPLS Tiendas,Sin conexi�_n
GC - Comunicaciones,Internet,Sin conexi�_n
GC - Comunicaciones,Internet,Intermitencia
GC - Comunicaciones,Internet,Lento
GC - Punto de Venta,Traspasos,No se carga pieza en SAP
GC - Punto de Venta,Traspasos,No existe pieza
GC - Punto de Venta,Traspasos,No existe pedido en pieza
GC - Punto de Venta,Traspasos,La pieza es para otra sucursal
GC - Punto de Venta,Traspasos,Error de marca y modelo
Software,Agentes,Clonaci�_n
Software,Sistemas Operativos,Windows 10
Software,Sistemas Operativos,Windows 7
Software,Sistemas Operativos,Windows XP
Software,Sistemas Operativos,Windows 8
Software,Navegadores,Firefox
GC - Hardware,Monitor,Nuevo
GC - Hardware,Monitor,No enciende
GC - Hardware,Monitor,Instalaci�_n
GC - Hardware,Monitor,Falla de colores
GC - Hardware,Monitor,Configuraci�_n
GC - Punto de Venta,Traspasos,No permite traspasar
GC - Hardware,Laptop,No enciende
GC - Hardware,Laptop,Instalaci�_n
GC - Hardware,Laptop,Formateo
GC - Hardware,Impresoras,Asesoria
GC - Hardware,Impresoras,Instalaci�_n
GC - Hardware,Impresoras,Configuraci�_n
GC - Hardware,CPU,No enciende
GC - Hardware,CPU,Instalaci�_n
GC - Hardware,CPU,Formateo
GC - Software,SAP,Planchado
GC - Software,SAP,Transportes
GC - Software,SAP,Roles
GC - Software,SAP,Configuraci�_n
GC - Software,SAP,Instalaci�_n
GC - Software,VPN,Falla
GC - Software,VPN,Instalaci�_n
GC - Software,VPN,Configuraci�_n
GC - Software,Microsoft Office,Outlook
GC - Software,Microsoft Office,Power Point
GC - Software,Microsoft Office,Excel
GC - Software,Microsoft Office,Word
GC - Software,Internet Explorer,Actualizaci�_n
GC - Software,Internet Explorer,Desinstalaci�_n
GC - Software,Internet Explorer,Falla
GC - Software,Internet Explorer,Configuraci�_n
GC - Software,Internet Explorer,Instalaci�_n
Software,Navegadores,Safari
Software,Navegadores,IE
Software,Documentos,Acrobat
Software,Clientes de Correo,Outlook
Software,Clientes de Correo,Domino NT
Software,Agentes,Respaldo
Software,Documentos,Excel
Software,Documentos,Powerpoint
Software,Navegadores,Chrome
Software,Documentos,Office
Software,Documentos,Word
Hardware,Perifericos,Monitor
GC - Software,Google Chrome,Actualizaci�_n
GC - Software,Google Chrome,Desinstalaci�_n
GC - Software,Google Chrome,Falla
GC - Software,Google Chrome,Configuraci�_n
GC - Punto de Venta,Corte de caja,Nota de venta sin datos
GC - Punto de Venta,Corte de caja,Cargos pendientes
GC - Punto de Venta,Corte de caja,No imprime corte
GC - Punto de Venta,Corte de caja,No se env�_a corte
GC - Punto de Venta,Corte de caja,No genera corte
GC - Punto de Venta,Corte de caja,Error en formas de pago
GC - Punto de Venta,Oro a cuenta,No abre programa
GC - Punto de Venta,Oro a cuenta,No imprime recibo
GC - Punto de Venta,Pedidos,No imprime recibo
GC - Punto de Venta,Pedidos,Error en marca y modelo
GC - Punto de Venta,Pedidos,No genera pedido
GC - Punto de Venta,Venta,No imprime
GC - Punto de Venta,Venta,Archivo da̱ado
GC - Punto de Venta,Venta,Error en indice
GC - Punto de Venta,Venta,No abre SUIC2
Hardware,Servidores,Back Up / Restore
Teams & Teammates,Teammates,New Teammates
Software,Sistemas Operativos,Windows 8.1
Software,Sistemas Operativos,Linux
Teams & Teammates,Work Related Activities,Activities
Teams & Teammates,Create New Team / Subteam,Away Activities
Teams & Teammates,Create New Team / Subteam,Befective Activated
Teams & Teammates,Free Days,Create Free Day
Teams & Teammates,Free Days,Delete Free Day
Teams & Teammates,Inventory,Installed Agents
Teams & Teammates,Logs,Review
Teams & Teammates,Teams,Away Activities
Teams & Teammates,Teams,Befective Activated
Teams & Teammates,Teams,Consider Away After
Teams & Teammates,Teams,Delete Team/Subteam
Teams & Teammates,Teams,Mood Feature
Teams & Teammates,Teams,My Stats Feature
Teams & Teammates,Teams,Time Goal
Teams & Teammates,Teammates,Assign a Team
Teams & Teammates,Teammates,Change Team
Teams & Teammates,Teammates,Ignore Teammate
Teams & Teammates,Teammates,Inactivate Teammate
Teams & Teammates,Work Related Activities,Categories
Self Service,Learn Videos,Downloads
itManager  - PPO - Interno,Usuarios,Alta
Self Service,Learn Videos,Statistics
Self Service,Learn Videos,Teams & Teammates
Self Service,Learn Videos,Your Company
Suggestions & Complains,Complains,Human Service
Suggestions & Complains,Complains,Payment
Suggestions & Complains,Complains,Platform
Suggestions & Complains,Suggestions,Improvements
Suggestions & Complains,Suggestions,New Features
Accesos,Success Factor,Reset de Password
Accesos,MP9,Cuenta
Software,Agentes,PeopleNet
Software,Agentes,Trusted Link
GC - Software,Remoto,Otro
Software,Agentes,Discoverer
Software,Documentos,Visio
Accesos,Oracle,Password
Hardware,Servidores,Storage EBS
Aplicaciones,Discoverer,Modificacion Reporte
Aplicaciones,Discoverer,Nuevo Reporte
Software,Documentos,Adobe
Software,Standard,Discoverer
Software,Standard,MINIT AB
Software,Standard,MS OFFICE
Software,Standard,MS SQL SERVER
Software,Standard,Java
Essential,Infraestructura,CDMON
Essential,Servicio,Mantenimiento
Essential,Sistema Operativo,Actualizaci�_n
ANGLO,Controladora,Usuarios
ANGLO,Controladora,Configuraci�_n
ANGLO,Controladora,DNS
ANGLO,Controladora,Falla
ANGLO,Access Point,SSID
ANGLO,Access Point,Cobertura
ANGLO,Access Point,Acceso
ANGLO,Access Point,SSID
ANGLO,Cable de Red,Falla
ANGLO,Cable de Red,Cambio
itManager  - PPO - Interno,Tipos de Equipo,Falla
itManager  - PPO - Interno,Tipos de Equipo,Alta
itManager  - PPO - Interno,Tipos de Equipo,Baja
Eutectic,JDE,Cuentas por Cobrar
Eutectic,JDE,Cuentas por Pagar
Eutectic,JDE,Contabilidad General
Eutectic,JDE,Inventario
Eutectic,JDE,Ventas
Eutectic,JDE,Compras
itManager  - PPO - Interno,Tipo de Cliente,Alta
itManager  - PPO - Interno,Tipo de Cliente,Falla
itManager  - PPO - Interno,Tipo de Cliente,Baja
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Uso Horario
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Moneda
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Idioma
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Notificaci�_n de organizaci�_n
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Usar copyright
itManager  - PPO - Interno,Usuarios,Baja
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Usar logo cliente
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Usar logo itManager
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Mensaje copyright
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Organizaci�_n eMail
itManager  - PPO - Interno,Configuraci�_n de Organizaci�_n,Logo - Busqueda de archivo
itManager  - PPO - Interno,Tipos de Contrato,Alta
itManager  - PPO - Interno,Tipos de Contrato,Baja
itManager  - PPO - Interno,Tipos de Contrato,Falla
itManager  - PPO - Interno,Variables,Alta
itManager  - PPO - Interno,Variables,Baja
itManager  - PPO - Interno,Variables,Falla
itManager  - PPO - Interno,Usuarios,Cambio
itManager  - PPO - Interno,Servicios �_nicos,Alta
itManager  - PPO - Interno,Servicios �_nicos,Baja
itManager  - PPO - Interno,Servicios �_nicos,Falla
itManager  - PPO - Interno,Procedimientos,Alta
itManager  - PPO - Interno,Procedimientos,Baja
itManager  - PPO - Interno,Procedimientos,eMail
itManager  - PPO - Interno,Procedimientos,Modificar Atributo
itManager  - PPO - Interno,Pr̩stamo de Equipo,Alta
itManager  - PPO - Interno,Pr̩stamo de Equipo,Baja
itManager  - PPO - Interno,Pr̩stamo de Equipo,Falla
itManager  - PPO - Interno,Pol�_ticas de Organizaci�_n,Alta
itManager  - PPO - Interno,Pol�_ticas de Organizaci�_n,Baja
itManager  - PPO - Interno,Pol�_ticas de Organizaci�_n,Cambio
itManager  - PPO - Interno,Pol�_ticas de Organizaci�_n,Falla
itManager  - PPO - Interno,Plantillas,Cambios
itManager  - PPO - Interno,Plantillas,Falla
itManager  - PPO - Interno,Plantillas,Alta
itManager  - PPO - Interno,Plantillas,Baja
itManager  - PPO - Interno,Mesas,Pol�_ticas
itManager  - PPO - Interno,Mesas,Cat��logos
itManager  - PPO - Interno,Mesas,Revisi�_n
itManager  - PPO - Interno,Mesas,Etapa
itManager  - PPO - Interno,Mesas,Prioridades
itManager  - PPO - Interno,Mesas,Estatus
itManager  - PPO - Interno,Mesas,Relaciones
itManager  - PPO - Interno,Mesas,Campos obligatorios
itManager  - PPO - Interno,Checklists,Nuevo Checklist
itManager  - PPO - Interno,Checklists,Clientes
itManager  - PPO - Interno,Checklists,Editar Campos
itManager  - PPO - Interno,Checklists,Tipo
itManager  - PPO - Interno,Checklists,Obligatorio
itManager  - PPO - Interno,Grupos de Permisos,Permisos - Administrativo
Hardware,Desktop,RAM
Hardware,Desktop,Mother Board
Hardware,Desktop,CPU
itManager  - PPO - Interno,Grupos de Permisos,Permisos - Gerencia
itManager  - PPO - Interno,Grupos de Permisos,Permisos - Informe
itManager  - PPO - Interno,Grupos de Permisos,Permisos - T̩cnico
itManager  - PPO - Interno,Grupos de Permisos,Permisos - Cliente
itManager  - PPO - Interno,Grupos de Permisos,Alta
itManager  - PPO - Interno,Grupos de Permisos,Baja
itManager  - PPO - Interno,Grupos de Permisos,Grupo de Agentes
itManager  - PPO - Interno,Grupos de Permisos,Usuarios
itManager  - PPO - Interno,Grupo de Agentes,Alta
itManager  - PPO - Interno,Grupo de Agentes,Baja
itManager  - PPO - Interno,Grupo de Agentes,Informaci�_n General
itManager  - PPO - Interno,Grupo de Agentes,Miembros
itManager  - PPO - Interno,Grupo de Agentes,Expediente
itManager  - PPO - Interno,Feriados,Cambio
itManager  - PPO - Interno,Feriados,Alta
itManager  - PPO - Interno,Feriados,Baja
itManager  - PPO - Interno,Distribuci�_n,Host
itManager  - PPO - Interno,Distribuci�_n,Host Port
itManager  - PPO - Interno,Distribuci�_n,SSL
itManager  - PPO - Interno,Distribuci�_n,Repetidor VNC
itManager  - PPO - Interno,Configuraci�_n de Acceso Remoto,Seleccione Cliente
itManager  - PPO - Interno,Configuraci�_n de Acceso Remoto,Seleccione una acci�_n
itManager  - PPO - Interno,Configuraci�_n de Acceso Remoto,Aplicar a los equipos
itManager  - PPO - Interno,Cat��logo de Servicio,Alta
itManager  - PPO - Interno,Cat��logo de Servicio,Baja
itManager  - PPO - Interno,Cat��logo de Servicio,Cambios
itManager  - PPO - Interno,Cat��logo de Servicio,Asignaci�_n
itManager  - PPO - Interno,Cat��logo de Servicio,Soluci�_n
itManager  - PPO - Interno,Cat��logo de Servicio,Asistencia
itManager  - PPO - Interno,Cat��logo de Servicio,Esfuerzo
itManager  - PPO - Interno,Actividades recurrentes,Alta
itManager  - PPO - Interno,Actividades recurrentes,Baja
itManager  - PPO - Interno,Actividades recurrentes,Cambios
itManager  - PPO - Interno,Actividades recurrentes,Configuraci�_n
itManager  - PPO - Interno,General,Idioma
itManager  - PPO - Interno,General,Uso Horario
itManager  - PPO - Interno,Clientes,Alta
itManager  - PPO - Interno,Clientes,Baja
itManager  - PPO - Interno,Clientes,Configuraci�_n
itManager  - PPO - Interno,Clientes,Usuarios
itManager  - PPO - Interno,Clientes,Grupos de Equipos
itManager  - PPO - Interno,Clientes,Relaciones
itManager  - PPO - Interno,General,Falla
itManager  - PPO - Interno,General,Distribuci�_n de agentes
itManager  - PPO - Interno,Contratos,Alta
itManager  - PPO - Interno,Contratos,Baja
itManager  - PPO - Interno,Contratos,Cambios
itManager  - PPO - Interno,Informes,Alta
itManager  - PPO - Interno,Informes,Baja
itManager  - PPO - Interno,Informes,Cambios
Hardware,Laptop,Adaptador de energia
Hardware,Laptop,Bateria
Hardware,Laptop,Touch Pad
Hardware,Laptop,RAM
Hardware,Laptop,Unidad �_ptica
Hardware,Laptop,Pantalla
Hardware,Laptop,Teclado Integrado
Hardware,Laptop,Puerto HDMI
Hardware,Laptop,Puerto VGA
Hardware,Laptop,Puertos USB
Software,Aplicaciones Servidor,Consola Antivirus
Hardware,Laptop,Fuente de Poder Integrada
Hardware,Laptop,Mother Board
Software,Aplicaciones Servidor,DNS
Software,Documentos,Sharepoint
Software,Documentos,Project
Software,Aplicaciones Servidor,SQL
Hardware,Desktop,Gabinete
Administration,Accounts,Profile
Administration,Company,Information
Administration,Company,Goals & Rules
Administration,Administration,Change Rol
Administration,Administration,Delete Admin/Manager
Administration,Administration,Invite Admin/Manager
Hardware,Desktop,HDD
ControlCambio,Oracle Apps,instalaci�_n
ControlCambio,SOLinux,File Systems
ControlCambio,SOLinux,Cron Jobs
ControlCambio,Oracle Apps,Actualizaciones
ControlCambio,SOLinux,Configuraci�_n
ControlCambio,SOLinux,Actualizaciones
ControlCambio,Oracle Apps,Reinicio
ControlCambio,SOLinux,Reinicio
Accesos,MP9,Base de datos
Hardware,Desktop,Unidad ��ptica
Software,Agentes,Meta4 EMIND
Software,Standard,ADI
Software,Standard,Adobe Flash
Software,Standard,Cisco VPN
Software,Ingenier�_a,3D- Data Express
